id,fname,lat,long,ename
12166904,جنت شهر,,,
12166905,جويم,,,
12166906,جهرم,,,
12166907,حاجي آباد,,,
12166908,حسامي,,,
12166909,حسن آباد,,,
12166910,خانه زنيان,,,
12166911,خاوران,,,
12166912,خرامه,,,
12166913,خشت,,,
12166914,خنج,,,
12166915,خور,,,
12166916,خومه زار,,,
12166917,داراب,,,
12166918,داريان,,,
12166919,دبيران,,,
12166920,دژكرد,,,
12166921,دوبرجي,,,
12166922,دوزه,,,
12166923,دهرم,,,
12166924,رامجرد,,,
12166925,رونيز,,,
12166926,زاهدشهر,,,
12166927,زرقان,,,
12166928,سده,,,
12166929,سروستان,,,
12166930,سعادت شهر,,,
12166931,سورمق,,,
12166932,سيدان,,,
12166933,ششده,,,
12166934,شهر جديد صدرا,,,
12166935,شهرپير,,,
12166936,شيراز,,,
12166937,صغاد,,,
12166938,صفاشهر,,,
12166939,علامرودشت,,,
12166940,عمادده,,,
12166941,فدامي,,,
12166942,فراشبند,,,
12166943,فسا,,,
12166944,فيروزآباد,,,
12166945,قادرآباد,,,
12166946,قائميه,,,
12166947,قطب آباد,,,
12166948,قطرويه,,,
12166949,قير,,,
12166950,كارزين,,,
12166951,كازرون,,,
12166952,كامفيروز,,,
12166953,كره اي,,,
12166954,كنارتخته,,,
12166955,كوار,,,
12166956,كوهنجان,,,
12166957,گراش,,,
12166958,گله دار,,,
12166959,لار,,,
12166960,لامرد,,,
12166961,لپوئي,,,
12166962,لطيفي,,,
12166963,مبارك آباد,,,
12166964,مرودشت,,,
12166965,مشكان,,,
12166966,مصيري,,,
12166967,مهر,,,
12166968,ميمند,,,
12166969,نوبندگان,,,
12166970,نوجين,,,
12166971,نودان,,,
12166972,نورآباد,,,
12166973,ني ريز,,,
12166974,وراوي,,,
12166975,هماشهر,,,
12166976,ارداق,,,
12166977,اسفرورين,,,
12166978,اقباليه,,,
12166979,الوند,,,
12166980,آبگرم,,,
12166981,آبيك,,,
12166982,آوج,,,
12166983,بوئين زهرا,,,
12166984,بيدستان,,,
12166985,تاكستان,,,
12166986,خاكعلي,,,
12166987,خرمدشت,,,
12166988,دانسفهان,,,
12166989,رازميان,,,
12166990,سگزآباد,,,
12166991,سيردان,,,
12166992,شال,,,
12166993,شريفيه,,,
12166994,ضياءآباد,,,
12166995,قزوين,,,
12166996,كوهين,,,
12166997,محمديه,,,
12166998,محمودآبادنمونه,,,
12166999,معلم كلايه,,,
12167000,نرجه,,,
12167001,جعفريه,,,
12167002,دستجرد,,,
12167003,سلفچگان,,,
12167004,قم,,,
12167005,قنوات,,,
12167006,كهك,,,
12167007,آرمرده,,,
12167008,بابارشاني,,,
12167009,بانه,,,
12167010,بلبان آباد,,,
12167011,بوئين سفلي,,,
12167012,بيجار,,,
12167013,چناره,,,
12167014,دزج,,,
12167015,دلبران,,,
12167016,دهگلان,,,
12167017,ديواندره,,,
12167018,زرينه,,,
12167019,سروآباد,,,
12167020,سريش آباد,,,
12167021,سقز,,,
12167022,سنندج,,,
12167023,شويشه,,,
12167024,صاحب,,,
12167025,قروه,,,
12167026,كامياران,,,
12167027,كاني دينار,,,
12167028,كاني سور,,,
12167029,مريوان,,,
12167030,موچش,,,
12167031,ياسوكند,,,
12167032,اختيارآباد,,,
12167033,ارزوئيه,,,
